,undergrad,grad,source,target,job,counts
130,Jewish Studies,MS in Speech-Language Pathology,13,24,,30
133,Law,MS in Biotech. Management & Entrepreneurship,14,16,,30
134,Law,MS in Cybersecurity,14,17,,30.57613169
135,Law,MS in Data Analytics and Visualization,14,18,,30
136,Law,MS in Digital Marketing and Media,14,19,,30
138,Law,MS in Mathematics,14,20,,30
141,Law,MS in Speech-Language Pathology,14,24,,30.28806584
148,Mathematical Sciences,MS in Digital Marketing and Media,25,19,,30.86419753
151,Mathematical Sciences,MS in Quantitative Economics,25,23,,35.47325103
150,Mathematical Sciences,MS in Physics,25,22,,30.28806584
149,Mathematical Sciences,MS in Mathematics,25,20,,50.16460905
147,Mathematical Sciences,MS in Data Analytics and Visualization,25,18,,40.37037037
145,Mathematical Sciences,MS in Biotech. Management & Entrepreneurship,25,16,,30.28806584
144,Mathematical Sciences,MS in Artificial Intelligence,25,15,,31.44032922
146,Mathematical Sciences,MS in Cybersecurity,25,17,,31.44032922
155,Other,MS in Biotech. Management & Entrepreneurship,26,16,,30.86419753
156,Other,MS in Cybersecurity,26,17,,30.57613169
157,Other,MS in Data Analytics and Visualization,26,18,,32.88065844
158,Other,MS in Digital Marketing and Media,26,19,,32.01646091
160,Other,MS in Mathematics,26,20,,30
161,Other,MS in Quantitative Economics,26,23,,30.57613169
164,Other,MS in Speech-Language Pathology,26,24,,30.86419753
169,Physics And Astronomy,MS in Quantitative Economics,27,23,,30
167,Physics And Astronomy,MS in Mathematics,27,20,,30
168,Physics And Astronomy,MS in Physics,27,22,,30.86419753
165,Physics And Astronomy,MS in Artificial Intelligence,27,15,,30
166,Physics And Astronomy,MS in Data Analytics and Visualization,27,18,,30.28806584
171,Political Science,MS in Biotech. Management & Entrepreneurship,28,16,,30
172,Political Science,MS in Cybersecurity,28,17,,30.86419753
173,Political Science,MS in Data Analytics and Visualization,28,18,,30.57613169
174,Political Science,MS in Digital Marketing and Media,28,19,,30.57613169
180,Psychology,MS in Biotech. Management & Entrepreneurship,29,16,,31.72839506
181,Psychology,MS in Cybersecurity,29,17,,31.15226337
182,Psychology,MS in Data Analytics and Visualization,29,18,,32.01646091
183,Psychology,MS in Digital Marketing and Media,29,19,,33.16872428
185,Psychology,MS in Mathematics,29,20,,30
188,Psychology,MS in Speech-Language Pathology,29,24,,37.48971193
192,Sociology,MS in Digital Marketing and Media,30,19,,30.57613169
191,Sociology,MS in Data Analytics and Visualization,30,18,,30
196,Sociology,MS in Speech-Language Pathology,30,24,,30.28806584
0,,MS in Biotech. Management & Entrepreneurship,16,31,Product Manager,38.35390947
1,,MS in Biotech. Management & Entrepreneurship,16,32,Market Manager,38.35390947
2,,MS in Biotech. Management & Entrepreneurship,16,33,Clinical Trials Manager,38.35390947
3,,MS in Biotech. Management & Entrepreneurship,16,34,Regulatory Affairs Specialist,38.35390947
4,,MS in Biotech. Management & Entrepreneurship,16,35,Patent Manager,38.35390947
5,,MS in Biotech. Management & Entrepreneurship,16,36,Business Development Specialist,38.35390947
6,,MS in Cybersecurity,17,37,Cybersecurity Engineer,38.35390947
7,,MS in Cybersecurity,17,38,IT Security Director,38.35390947
8,,MS in Cybersecurity,17,39,Info Assurance Specialist,38.35390947
9,,MS in Cybersecurity,17,40,Cybersecurity Analyst,38.35390947
10,,MS in Data Analytics and Visualization,18,41,Data Analyst,38.35390947
11,,MS in Data Analytics and Visualization,18,42,Data Scientist,38.35390947
12,,MS in Data Analytics and Visualization,18,31,Product Manager,38.35390947
13,,MS in Data Analytics and Visualization,18,43,Start-up Founder,38.35390947
14,,MS in Digital Marketing and Media,19,44,Digital Marketing Manager,38.35390947
15,,MS in Digital Marketing and Media,19,45,Marketing Communications Manager,38.35390947
16,,MS in Digital Marketing and Media,19,46,Marketing Director,38.35390947
17,,MS in Digital Marketing and Media,19,47,Market Research Analyst,38.35390947
18,,MS in Digital Marketing and Media,19,48,Product Development Manager,38.35390947
19,,MS in Digital Marketing and Media,19,49,Public Relations Manager,38.35390947
20,,MS in Digital Marketing and Media,19,50,Senior Marketing Program Manager,38.35390947
21,,MS in Mathematics,20,51,Financial analyst,38.35390947
22,,MS in Mathematics,20,52,Investment Analyst,38.35390947
23,,MS in Mathematics,20,53,Mathematician,38.35390947
24,,MS in Mathematics,20,54,Quantitative Analyst,38.35390947
25,,MS in Mathematics,20,55,Statistician,38.35390947
26,,MS in Quantitative Economics,23,56,Econometrician,38.35390947
27,,MS in Quantitative Economics,23,57,Financial Analyst,38.35390947
