,undergrad,source,target,job,counts,grad
78,Economics,7,19,,31.44032922,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
76,Economics,7,17,,30.86419753,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
75,Economics,7,16,,30.57613169,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
74,Economics,7,15,,30,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
77,Economics,7,18,,34.32098765,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
85,Engineering-Electrical And Electronics,8,16,,30.28806584,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
86,Engineering-Electrical And Electronics,8,17,,31.44032922,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
87,Engineering-Electrical And Electronics,8,18,,32.30452675,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
88,Engineering-Industrial,9,15,,30,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
89,Engineering-Industrial,9,16,,30,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
90,Engineering-Industrial,9,18,,30,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
91,Engineering-Industrial,9,19,,30,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
100,Engineering-Other,10,20,,31.72839506,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
101,Engineering-Other,10,23,,33.45679012,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
98,Engineering-Other,10,19,,32.01646091,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
95,Engineering-Other,10,16,,32.01646091,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
96,Engineering-Other,10,17,,40.37037037,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
94,Engineering-Other,10,15,,36.04938272,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
97,Engineering-Other,10,18,,45.26748971,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
105,Health And Medical Sciences,11,15,,31.44032922,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
106,Health And Medical Sciences,11,16,,61.39917695,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
107,Health And Medical Sciences,11,17,,31.15226337,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
108,Health And Medical Sciences,11,18,,34.6090535,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
109,Health And Medical Sciences,11,19,,31.72839506,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
111,Health And Medical Sciences,11,20,,30.86419753,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
112,Health And Medical Sciences,11,21,,30,"MS in Occupational Therapy Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
113,Health And Medical Sciences,11,23,,30,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
116,Health And Medical Sciences,11,24,,100,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
119,History,12,17,,30,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
121,History,12,19,,30,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
118,History,12,16,,30,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
120,History,12,18,,30,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
124,Jewish Studies,13,17,,30.57613169,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
125,Jewish Studies,13,19,,30,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
130,Jewish Studies,13,24,,30,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
133,Law,14,16,,30,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
134,Law,14,17,,30.57613169,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
135,Law,14,18,,30,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
136,Law,14,19,,30,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
138,Law,14,20,,30,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
141,Law,14,24,,30.28806584,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
148,Mathematical Sciences,25,19,,30.86419753,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
151,Mathematical Sciences,25,23,,35.47325103,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
150,Mathematical Sciences,25,22,,30.28806584,"MS in Physics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
149,Mathematical Sciences,25,20,,50.16460905,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
147,Mathematical Sciences,25,18,,40.37037037,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
145,Mathematical Sciences,25,16,,30.28806584,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
144,Mathematical Sciences,25,15,,31.44032922,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
146,Mathematical Sciences,25,17,,31.44032922,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
155,Other,26,16,,30.86419753,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
156,Other,26,17,,30.57613169,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
157,Other,26,18,,32.88065844,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
158,Other,26,19,,32.01646091,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
160,Other,26,20,,30,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
161,Other,26,23,,30.57613169,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
164,Other,26,24,,30.86419753,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
169,Physics And Astronomy,27,23,,30,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
167,Physics And Astronomy,27,20,,30,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
168,Physics And Astronomy,27,22,,30.86419753,"MS in Physics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
165,Physics And Astronomy,27,15,,30,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
166,Physics And Astronomy,27,18,,30.28806584,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
171,Political Science,28,16,,30,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
172,Political Science,28,17,,30.86419753,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
173,Political Science,28,18,,30.57613169,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
174,Political Science,28,19,,30.57613169,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
